Date;class
01-01;winter
01-02;winter
01-03;winter
01-04;winter
01-05;winter
01-06;winter
01-07;winter
01-08;winter
01-09;winter
01-10;winter
01-11;winter
01-12;winter
01-13;winter
01-14;winter
01-15;winter
01-16;winter
01-17;winter
01-18;winter
01-19;winter
01-20;winter
01-21;winter
01-22;winter
01-23;winter
01-24;winter
01-25;winter
01-26;winter
01-27;winter
01-28;winter
01-29;winter
01-30;winter
01-31;winter
02-01;winter
02-02;winter
02-03;winter
02-04;winter
02-05;winter
02-06;winter
02-07;winter
02-08;winter
02-09;winter
02-10;winter
02-11;winter
02-12;winter
02-13;winter
02-14;winter
02-15;winter
02-16;winter
02-17;winter
02-18;winter
02-19;winter
02-20;winter
02-21;winter
02-22;winter
02-23;winter
02-24;winter
02-25;winter
02-26;winter
02-27;winter
02-28;winter
02-29;winter
03-01;winter
03-02;winter
03-03;winter
03-04;winter
03-05;winter
03-06;winter
03-07;winter
03-08;winter
03-09;winter
03-10;winter
03-11;winter
03-12;winter
03-13;winter
03-14;winter
03-15;winter
03-16;interSeason
03-17;interSeason
03-18;interSeason
03-19;interSeason
03-20;interSeason
03-21;interSeason
03-22;interSeason
03-23;interSeason
03-24;interSeason
03-25;interSeason
03-26;interSeason
03-27;interSeason
03-28;interSeason
03-29;interSeason
03-30;interSeason
03-31;interSeason
04-01;interSeason
04-02;interSeason
04-03;interSeason
04-04;interSeason
04-05;interSeason
04-06;interSeason
04-07;interSeason
04-08;interSeason
04-09;interSeason
04-10;interSeason
04-11;interSeason
04-12;interSeason
04-13;interSeason
04-14;interSeason
04-15;interSeason
04-16;interSeason
04-17;interSeason
04-18;interSeason
04-19;interSeason
04-20;interSeason
04-21;interSeason
04-22;interSeason
04-23;interSeason
04-24;interSeason
04-25;interSeason
04-26;interSeason
04-27;interSeason
04-28;interSeason
04-29;interSeason
04-30;interSeason
05-01;interSeason
05-02;interSeason
05-03;interSeason
05-04;interSeason
05-05;interSeason
05-06;interSeason
05-07;interSeason
05-08;interSeason
05-09;interSeason
05-10;interSeason
05-11;interSeason
05-12;interSeason
05-13;interSeason
05-14;interSeason
05-15;interSeason
05-16;summer
05-17;summer
05-18;summer
05-19;summer
05-20;summer
05-21;summer
05-22;summer
05-23;summer
05-24;summer
05-25;summer
05-26;summer
05-27;summer
05-28;summer
05-29;summer
05-30;summer
05-31;summer
06-01;summer
06-02;summer
06-03;summer
06-04;summer
06-05;summer
06-06;summer
06-07;summer
06-08;summer
06-09;summer
06-10;summer
06-11;summer
06-12;summer
06-13;summer
06-14;summer
06-15;summer
06-16;summer
06-17;summer
06-18;summer
06-19;summer
06-20;summer
06-21;summer
06-22;summer
06-23;summer
06-24;summer
06-25;summer
06-26;summer
06-27;summer
06-28;summer
06-29;summer
06-30;summer
07-01;summer
07-02;summer
07-03;summer
07-04;summer
07-05;summer
07-06;summer
07-07;summer
07-08;summer
07-09;summer
07-10;summer
07-11;summer
07-12;summer
07-13;summer
07-14;summer
07-15;summer
07-16;summer
07-17;summer
07-18;summer
07-19;summer
07-20;summer
07-21;summer
07-22;summer
07-23;summer
07-24;summer
07-25;summer
07-26;summer
07-27;summer
07-28;summer
07-29;summer
07-30;summer
07-31;summer
08-01;summer
08-02;summer
08-03;summer
08-04;summer
08-05;summer
08-06;summer
08-07;summer
08-08;summer
08-09;summer
08-10;summer
08-11;summer
08-12;summer
08-13;summer
08-14;summer
08-15;summer
08-16;summer
08-17;summer
08-18;summer
08-19;summer
08-20;summer
08-21;summer
08-22;summer
08-23;summer
08-24;summer
08-25;summer
08-26;summer
08-27;summer
08-28;summer
08-29;summer
08-30;summer
08-31;summer
09-01;summer
09-02;summer
09-03;summer
09-04;summer
09-05;summer
09-06;summer
09-07;summer
09-08;summer
09-09;summer
09-10;summer
09-11;summer
09-12;summer
09-13;summer
09-14;summer
09-15;summer
09-16;summer
09-17;summer
09-18;summer
09-19;summer
09-20;summer
09-21;summer
09-22;summer
09-23;summer
09-24;summer
09-25;summer
09-26;summer
09-27;summer
09-28;summer
09-29;summer
09-30;summer
10-01;interSeason
10-02;interSeason
10-03;interSeason
10-04;interSeason
10-05;interSeason
10-06;interSeason
10-07;interSeason
10-08;interSeason
10-09;interSeason
10-10;interSeason
10-11;interSeason
10-12;interSeason
10-13;interSeason
10-14;interSeason
10-15;interSeason
10-16;interSeason
10-17;interSeason
10-18;interSeason
10-19;interSeason
10-20;interSeason
10-21;interSeason
10-22;interSeason
10-23;interSeason
10-24;interSeason
10-25;interSeason
10-26;interSeason
10-27;interSeason
10-28;interSeason
10-29;interSeason
10-30;interSeason
10-31;interSeason
11-01;winter
11-02;winter
11-03;winter
11-04;winter
11-05;winter
11-06;winter
11-07;winter
11-08;winter
11-09;winter
11-10;winter
11-11;winter
11-12;winter
11-13;winter
11-14;winter
11-15;winter
11-16;winter
11-17;winter
11-18;winter
11-19;winter
11-20;winter
11-21;winter
11-22;winter
11-23;winter
11-24;winter
11-25;winter
11-26;winter
11-27;winter
11-28;winter
11-29;winter
11-30;winter
12-01;winter
12-02;winter
12-03;winter
12-04;winter
12-05;winter
12-06;winter
12-07;winter
12-08;winter
12-09;winter
12-10;winter
12-11;winter
12-12;winter
12-13;winter
12-14;winter
12-15;winter
12-16;winter
12-17;winter
12-18;winter
12-19;winter
12-20;winter
12-21;winter
12-22;winter
12-23;winter
12-24;winter
12-25;winter
12-26;winter
12-27;winter
12-28;winter
12-29;winter
12-30;winter
12-31;winter
