Id_day	Id_hour	vect_b	Name
1	1	4190	FB01
1	1	4710	FB02
1	1	2813	FB03
1	1	3034	FB04
1	1	2475	FB05
1	1	2587	FB06
1	1	1906	FB07
1	1	4376	FB08
1	1	3957	FB09
1	1	8100	FB10
1	1	5374	FB11
1	1	1889	FB12
1	1	2666	FB13
1	1	4633	FB14
1	1	3813	FB15
1	1	5153	FB16
1	1	5101	FB17
1	1	5850	FB18
1	1	5076	FB19
1	1	5090	FB20
1	1	6614	FB21
1	1	6121	FB22
1	1	5894	FB23
1	1	6308	FB24
1	1	5869	FB25
1	1	2609	FB26
1	1	2047	FB27
1	1	2291	FB28
1	1	2132	FB29
1	1	1899	FB30
1	1	1887	FB31
1	1	1773	FB32
1	1	5028	FB33
1	1	5021	FB34
1	1	5089	FB35
1	1	5431	FB36
1	1	5000	FB37
1	1	4919	FB38
1	1	5914	FB39
1	1	4959	FB40
1	1	4736	FB41
1	1	4672	FB42
1	1	4565	FB43
1	1	5000	FB44
1	1	5838	FB45
1	1	3528	FB46
1	1	4686	FB47
1	1	4656	FB48
1	1	4760	FB49
1	1	4970	FB50
1	1	4422	FB51
1	1	4899	FB52
1	1	3299	FB53
1	1	2214	FB54
1	1	3362	FB55
1	1	1812	FB56
1	1	2593	FB57
1	1	5372	FB58
1	1	4424	FB59
1	1	3417	FB60
1	1	3400	FB61
1	1	4814	FB62
1	1	5443	FB63
1	1	5297	FB64
1	1	7077	FB65
1	1	8237	FB66
1	1	3920	FB67
1	1	7754	FB68
1	1	7479	FB69
1	1	4236	FB70
1	1	4603	FB71
1	1	5115	FB72
1	1	3542	FB73
1	1	5380	FB74
1	1	6547	FB75
1	1	3079	FB76
1	1	4918	FB77
1	1	6676	FB78
1	1	11622	FB79
1	1	9883	FB80
1	2	4153	FB01
1	2	5495	FB02
1	2	3016	FB03
1	2	3081	FB04
1	2	2391	FB05
1	2	2177	FB06
1	2	2297	FB07
1	2	4345	FB08
1	2	3660	FB09
1	2	9322	FB10
1	2	5694	FB11
1	2	2256	FB12
1	2	2597	FB13
1	2	4607	FB14
1	2	3780	FB15
1	2	5191	FB16
1	2	5097	FB17
1	2	5721	FB18
1	2	5046	FB19
1	2	5098	FB20
1	2	6851	FB21
1	2	5970	FB22
1	2	5606	FB23
1	2	6259	FB24
1	2	5900	FB25
1	2	2846	FB26
1	2	2972	FB27
1	2	3957	FB28
1	2	3371	FB29
1	2	3107	FB30
1	2	2971	FB31
1	2	1971	FB32
1	2	5040	FB33
1	2	5013	FB34
1	2	5099	FB35
1	2	5468	FB36
1	2	5000	FB37
1	2	4938	FB38
1	2	5821	FB39
1	2	4988	FB40
1	2	4869	FB41
1	2	4677	FB42
1	2	4572	FB43
1	2	5000	FB44
1	2	5497	FB45
1	2	3228	FB46
1	2	4791	FB47
1	2	4760	FB48
1	2	4741	FB49
1	2	4978	FB50
1	2	4660	FB51
1	2	4995	FB52
1	2	4617	FB53
1	2	2472	FB54
1	2	3278	FB55
1	2	2308	FB56
1	2	2496	FB57
1	2	5466	FB58
1	2	4454	FB59
1	2	3180	FB60
1	2	4096	FB61
1	2	5893	FB62
1	2	5269	FB63
1	2	5239	FB64
1	2	6596	FB65
1	2	8841	FB66
1	2	3725	FB67
1	2	7235	FB68
1	2	6895	FB69
1	2	4451	FB70
1	2	5181	FB71
1	2	4543	FB72
1	2	3931	FB73
1	2	5837	FB74
1	2	6931	FB75
1	2	3936	FB76
1	2	5421	FB77
1	2	8471	FB78
1	2	12723	FB79
1	2	9905	FB80
1	3	3831	FB01
1	3	5380	FB02
1	3	3850	FB03
1	3	2310	FB04
1	3	3253	FB05
1	3	2118	FB06
1	3	2448	FB07
1	3	3855	FB08
1	3	4702	FB09
1	3	8098	FB10
1	3	3811	FB11
1	3	2295	FB12
1	3	2705	FB13
1	3	4614	FB14
1	3	3838	FB15
1	3	5179	FB16
1	3	5099	FB17
1	3	5844	FB18
1	3	5005	FB19
1	3	5095	FB20
1	3	7233	FB21
1	3	6652	FB22
1	3	5994	FB23
1	3	6568	FB24
1	3	6046	FB25
1	3	3135	FB26
1	3	2134	FB27
1	3	3368	FB28
1	3	2776	FB29
1	3	2185	FB30
1	3	2445	FB31
1	3	1935	FB32
1	3	5046	FB33
1	3	5059	FB34
1	3	5157	FB35
1	3	5479	FB36
1	3	5000	FB37
1	3	4969	FB38
1	3	5917	FB39
1	3	4976	FB40
1	3	4366	FB41
1	3	4722	FB42
1	3	4617	FB43
1	3	5000	FB44
1	3	5804	FB45
1	3	3142	FB46
1	3	5024	FB47
1	3	4569	FB48
1	3	4749	FB49
1	3	4950	FB50
1	3	4629	FB51
1	3	4983	FB52
1	3	4198	FB53
1	3	2483	FB54
1	3	3166	FB55
1	3	2130	FB56
1	3	2871	FB57
1	3	5544	FB58
1	3	4509	FB59
1	3	2881	FB60
1	3	3431	FB61
1	3	4695	FB62
1	3	5023	FB63
1	3	5360	FB64
1	3	6907	FB65
1	3	6911	FB66
1	3	4040	FB67
1	3	7473	FB68
1	3	6966	FB69
1	3	4364	FB70
1	3	5215	FB71
1	3	4531	FB72
1	3	3802	FB73
1	3	5955	FB74
1	3	5887	FB75
1	3	3311	FB76
1	3	5262	FB77
1	3	6744	FB78
1	3	10449	FB79
1	3	9973	FB80
1	4	3774	FB01
1	4	5357	FB02
1	4	3853	FB03
1	4	2290	FB04
1	4	3300	FB05
1	4	1898	FB06
1	4	2666	FB07
