"Name"	"BE.FR"	"DE.FR"	"DE.NL"	"BE.NL"	"BE.DE"
"FB01"	-0.79	0.18	0	-0.97	-0.97
"FB02"	-1.15	-0.49	0.29	-0.37	-0.66
"FB03"	0.67	-0.27	0.01	0.95	0.94
"FB04"	-0.44	0.37	-0.07	-0.88	-0.81
"FB05"	0.43	-0.37	0.07	0.87	0.8
"FB06"	-0.06	0.11	0.57	0.4	-0.17
"FB07"	0.07	-0.13	-0.59	-0.39	0.2
"FB08"	-0.35	0.35	0.71	0.01	-0.7
"FB09"	-0.34	-0.85	-0.01	0.5	0.51
"FB10"	0.44	0.91	0.34	-0.13	-0.47
"FB11"	-0.3	-1.16	-0.49	0.37	0.86
"FB12"	0.01	-0.01	-0.51	-0.49	0.02
"FB13"	0.08	-0.24	0.32	0.64	0.32
"FB14"	-0.05	-0.01	0.09	0.05	-0.04
"FB15"	-0.05	0	0.23	0.18	-0.05
"FB16"	-0.1	-0.13	0	0.03	0.03
"FB17"	0	-0.1	-0.01	0.09	0.1
"FB18"	-0.07	-0.19	-0.11	0.01	0.12
"FB19"	0	-0.02	-0.02	0	0.02
"FB20"	-0.06	-0.07	-0.01	0	0.01
"FB21"	0	-0.23	-0.57	-0.34	0.23
"FB22"	0	-0.21	-0.65	-0.44	0.21
"FB23"	0.01	-0.21	-0.69	-0.47	0.22
"FB24"	-0.01	-0.12	-0.31	-0.2	0.11
"FB25"	0.01	-0.15	-0.17	-0.01	0.16
"FB26"	0.01	-0.12	-0.61	-0.48	0.13
"FB27"	1.01	0.52	-0.3	0.19	0.49
"FB28"	1.23	0.34	-0.29	0.6	0.89
"FB29"	1.16	0.48	-0.29	0.39	0.68
"FB30"	0.82	0.51	-0.32	-0.01	0.31
"FB31"	0.42	0.36	-0.38	-0.32	0.06
"FB32"	-0.21	0.21	-0.3	-0.72	-0.42
"FB33"	-0.02	-0.03	0.02	0.03	0.01
"FB34"	0.07	0.09	0.01	-0.01	-0.02
"FB35"	-0.01	0.03	0.04	0	-0.04
"FB36"	0.04	0.13	0.08	-0.01	-0.09
"FB37"	0.01	0	-0.01	0	0.01
"FB38"	-0.02	0.03	0	-0.05	-0.05
"FB39"	-0.01	0.13	0.15	0.01	-0.14
"FB40"	0.08	0.13	-0.01	-0.06	-0.05
"FB41"	-0.04	-0.15	-0.09	0.02	0.11
"FB42"	0.08	0.18	0.09	-0.01	-0.1
"FB43"	0.02	0.21	0.13	-0.06	-0.19
"FB44"	0	0.12	0.1	-0.02	-0.12
"FB45"	-1.16	-0.04	0.23	-0.89	-1.12
"FB46"	-0.08	0.01	0.34	0.25	-0.09
"FB47"	0.01	-0.18	-0.69	-0.5	0.19
"FB48"	0.03	-0.05	-0.08	0	0.08
"FB49"	-0.02	0.03	0.05	0	-0.05
"FB50"	0.03	0.06	0.01	-0.02	-0.09
"FB51"	0.05	0.02	-0.08	-0.05	0.03
"FB52"	0.09	0.03	0	0.06	0.06
"FB53"	1.15	0.02	-0.25	0.88	1.13
"FB54"	-0.34	0.18	-0.27	-0.79	-0.52
"FB55"	-0.18	0.02	0.45	0.25	-0.2
"FB56"	-0.04	0.21	-0.36	-0.61	-0.25
"FB57"	0.23	-0.3	0.22	0.75	0.53
"FB58"	0.14	0.32	0.02	-0.16	-0.18
"FB59"	-0.03	0.15	0.17	-0.01	-0.18
"FB60"	-0.19	0.24	0.66	0.23	-0.43
"FB61"	0.36	-0.32	-0.67	0.01	0.65
"FB62"	0.31	0.8	-0.01	-0.5	-0.49
"FB63"	-0.34	-1.09	-0.26	0.49	0.75
"FB64"	-0.46	-1.03	-0.15	0.42	0.57
"FB65"	0	0.17	0.38	0.21	-0.17
"FB66"	-0.32	0.89	0.73	-0.48	-1.24
"FB67"	-0.27	-0.39	0.25	0.37	0.12
"FB68"	0	0.24	0.57	0.33	-0.24
"FB69"	-0.01	0.26	0.69	0.42	-0.27
"FB70"	0.04	0	-0.16	-0.12	0.04
"FB71"	-0.98	-0.52	0.31	-0.15	-0.46
"FB72"	-0.07	0.23	0.72	0.42	-0.3
"FB73"	0.06	-0.01	-0.32	-0.25	0.07
"FB74"	-1.19	-0.26	0.32	-0.61	-0.93
"FB75"	-0.3	-1.11	-0.81	0	0.81
"FB76"	0.39	0.28	-0.28	-0.17	0.11
"FB77"	-1	0	0	-1	-1
"FB78"	1	1	0	0	0
"FB79"	0	1	1	0	-1
"FB80"	0	-1	-1	0	1
