"Name"	"FR.ZZ_flowbased"	"DE.ZZ_flowbased"	"BE.ZZ_flowbased"	"NL.ZZ_flowbased"
"FB01"	-0.02	-0.03	-0.01	0
"FB02"	-0.51	-0.31	-0.71	0
"FB03"	0.01	0	0.01	0
"FB04"	-0.12	-0.17	-0.12	0
"FB05"	-0.05	0.1	-0.01	0
"FB06"	0.09	0	0.09	0
"FB07"	0.01	-0.14	0	0
"FB08"	0.01	0.01	0	0
"FB09"	-0.3	-0.48	-0.3	0
"FB10"	0.84	-0.2	0.49	0.01
"FB11"	-0.17	0	-0.3	-0.94
"FB12"	0.32	0.32	0.25	0
"FB13"	0.07	-0.01	-0.02	0
"FB14"	0.83	-0.27	0.49	0
"FB15"	0.06	-0.09	0.02	0
"FB16"	0.27	-0.04	0.96	-0.06
"FB17"	-0.5	0.07	0.75	0.41
"FB18"	0.13	0	0.02	0
"FB19"	0.47	-0.08	-0.77	-0.41
"FB20"	-0.61	0.08	0.58	0.52
"FB21"	0.38	-0.07	0.9	-0.17
"FB22"	0.01	-0.04	0.01	0
"FB23"	0.11	-0.03	0.25	0.96
"FB24"	-0.19	0.05	0.92	0.34
"FB25"	0.01	0.01	0.99	0.11
"FB26"	0.22	0.23	0.17	0
"FB27"	-0.76	0.1	0.01	0.64
"FB28"	-0.05	0.01	-0.99	0
"FB29"	-0.04	-0.02	-0.04	0
"FB30"	-0.12	0	-0.07	0
"FB31"	0.46	0.58	0.39	0
"FB32"	-0.51	-0.31	0.2	0.75
"FB33"	0.03	0.15	0.03	0.01
"FB34"	0.37	0.35	0.53	0.54
"FB35"	0.01	-0.04	0.07	0.99
"FB36"	0.72	-0.48	0.44	0
"FB37"	-0.33	0.04	-0.7	0.63
"FB38"	-0.46	-0.35	-0.44	-0.4
"FB39"	0.26	-0.83	-0.02	0
"FB40"	0.85	-0.04	0.46	0
"FB41"	-0.71	0.26	-0.6	0.01
"FB42"	-0.11	0.1	-0.06	0
"FB43"	-0.09	0.04	0	0
"FB44"	-0.22	0.02	-0.41	0.89
"FB45"	-0.05	0.02	-0.03	0
"FB46"	-0.34	0.78	0.18	0.33
"FB47"	-0.31	-0.31	-0.26	0
"FB48"	-0.02	-0.01	0.07	0
"FB49"	0.03	0.05	0.01	0
"FB50"	-0.61	-0.34	-0.58	0
"FB51"	0.27	0.51	0.27	0
"FB52"	0.41	0.67	0.4	0
"FB53"	-0.16	-0.16	-0.14	0
"FB54"	0.51	0.71	0.43	0
"FB55"	-0.52	-0.42	-0.59	0
"FB56"	-0.44	-0.24	-0.81	0
"FB57"	-0.27	0.04	-0.58	-0.75
"FB58"	-0.82	-0.34	0.01	0
"FB59"	0.37	0.71	0.07	0
"FB60"	0.44	0.63	0.27	0
"FB61"	0.19	-0.05	-0.92	-0.35
"FB62"	-0.45	-0.05	-0.74	-0.49
"FB63"	0.31	0.23	0.29	0.27
"FB64"	-0.46	-0.58	-0.45	0
"FB65"	-0.66	-0.28	0.58	0
"FB66"	-0.86	-0.13	-0.45	0.04
"FB67"	-0.77	-0.29	0.41	0
"FB68"	-0.48	-0.69	-0.47	0
"FB69"	-0.54	-0.65	-0.53	0
"FB70"	-0.82	-0.28	0.26	0
"FB71"	-0.53	-0.63	-0.48	0
"FB72"	-0.55	-0.21	0.75	0
"FB73"	-0.48	0	-0.25	0
"FB74"	0	0	0	-1
"FB75"	-0.46	-0.58	-0.38	0
