Date|Period|ptdfFR|ptdfDE|ptdfAT|ptdfBE|ptdfNL|ram|Class|idDayType|TypicalDay
2019-01-22|1|0.00019|-0.00173|0.05636|0.00019|0|290|winterSe|1|TRUE
2019-01-22|1|-0.26768|-0.17272|-0.19242|-0.36204|0|864|winterSe|1|TRUE
2019-01-22|1|0.00217|0.00032|0.05782|0.00217|0|286|winterSe|1|TRUE
2019-01-22|1|-0.00838|-0.01282|0.04041|-0.00947|0|294|winterSe|1|TRUE
2019-01-22|1|0.00291|0|0.05752|0|0|291|winterSe|1|TRUE
2019-01-22|1|-0.00025|-0.00253|0.05524|0|0|290|winterSe|1|TRUE
2019-01-22|1|-0.26862|-0.17441|-0.19704|-0.35627|0|864|winterSe|1|TRUE
2019-01-22|1|-0.00859|0.01669|0.17759|-0.00398|0|837|winterSe|1|TRUE
2019-01-22|1|0.00423|0|0.0566|0.00444|0|286|winterSe|1|TRUE
2019-01-22|1|-0.01264|0.01657|0.17628|-0.00395|0|837|winterSe|1|TRUE
2019-01-22|1|-0.00036|-0.00559|0.0505|0|0|290|winterSe|1|TRUE
2019-01-22|1|0.00064|0.00132|-0.1211|0.00064|0|603|winterSe|1|TRUE
2019-01-22|1|0.00011|-0.0018|0.05725|0|0|295|winterSe|1|TRUE
2019-01-22|1|0.0019|0|0.05758|0.00195|0|286|winterSe|1|TRUE
2019-01-22|1|-0.01054|-0.01763|0.03275|-0.01054|0|289|winterSe|1|TRUE
2019-01-22|1|0.00189|0|0.05759|0.00189|0|286|winterSe|1|TRUE
2019-01-22|1|-0.01044|0.01425|0.17563|-0.00394|0|837|winterSe|1|TRUE
2019-01-22|1|0.18484|-0.05028|0.02071|0.11133|0|929|winterSe|1|TRUE
2019-01-22|1|-0.04136|-0.00493|-0.01222|-0.06466|-0.20001|433|winterSe|1|TRUE
2019-01-22|1|-0.00037|-0.00281|0.05482|0|0|290|winterSe|1|TRUE
2019-01-22|1|-0.24869|-0.14616|-0.17106|-0.35012|0|864|winterSe|1|TRUE
2019-01-22|1|-0.01061|-0.01763|0.03276|-0.01061|0|289|winterSe|1|TRUE
2019-01-22|1|0.02794|0.02794|0.07601|0.02105|0|291|winterSe|1|TRUE
2019-01-22|1|-0.01059|0.01863|0.1781|-0.004|0|837|winterSe|1|TRUE
2019-01-22|1|0.02645|0.02645|0.0754|0.02112|0|291|winterSe|1|TRUE
2019-01-22|1|0.00508|0.00107|0.05729|0|0|291|winterSe|1|TRUE
2019-01-22|1|-0.01008|-0.0172|0.03337|-0.01008|0|289|winterSe|1|TRUE
2019-01-22|1|0.00527|0.0013|0.05761|0.00527|0|286|winterSe|1|TRUE
2019-01-22|1|0.16553|-0.0676|0.00249|0.09617|0|929|winterSe|1|TRUE
2019-01-22|1|0.00069|-0.00103|0.05809|0|0|295|winterSe|1|TRUE
2019-01-22|1|-0.29906|-0.17916|-0.20751|-0.35318|0|864|winterSe|1|TRUE
2019-01-22|1|-0.00021|-0.00195|0.05661|-0.00071|0|294|winterSe|1|TRUE
2019-01-22|1|0.003|-0.00154|0.05539|0.00359|0|290|winterSe|1|TRUE
2019-01-22|1|0.00888|-0.01893|-0.20197|0.00362|0|972|winterSe|1|TRUE
2019-01-22|1|-0.26809|-0.16876|-0.18853|-0.3626|0|864|winterSe|1|TRUE
2019-01-22|1|0.00953|-0.0183|-0.20128|0.00361|0|972|winterSe|1|TRUE
2019-01-22|1|0|-0.00559|0.05044|0|0|290|winterSe|1|TRUE
2019-01-22|1|0.17037|-0.05571|0.01929|0.10219|0|929|winterSe|1|TRUE
2019-01-22|1|0.00334|-0.00376|-0.19826|0.0018|0|972|winterSe|1|TRUE
2019-01-22|1|0.00953|-0.01841|-0.20139|0.00389|0|972|winterSe|1|TRUE
2019-01-22|1|0.06669|-0.0089|0.01063|0.24785|-0.0138|1110|winterSe|1|TRUE
2019-01-22|1|-0.14198|0.01589|-0.01796|0.20414|0.11521|1254|winterSe|1|TRUE
2019-01-22|1|0.18469|-0.05045|0.02045|0.11095|0|929|winterSe|1|TRUE
2019-01-22|1|0.00296|-0.00152|0.05459|-0.00211|0|294|winterSe|1|TRUE
2019-01-22|1|0.00633|0|0.05623|0.0038|0|291|winterSe|1|TRUE
2019-01-22|1|0.00438|0|0.05659|0.00438|0|286|winterSe|1|TRUE
2019-01-22|1|-0.00088|0.00231|-0.11933|0.00018|0|603|winterSe|1|TRUE
2019-01-22|1|-0.0096|0.01449|0.17603|-0.00373|0|837|winterSe|1|TRUE
2019-01-22|1|0.14199|-0.01589|0.01796|-0.20409|-0.11522|1975|winterSe|1|TRUE
2019-01-22|1|-0.01343|0.01721|0.17635|-0.00523|0|837|winterSe|1|TRUE
2019-01-22|1|2e-04|0.00279|-0.11891|0.00049|0|603|winterSe|1|TRUE
2019-01-22|1|0.00504|0|0.05618|0|0|291|winterSe|1|TRUE
2019-01-22|1|0.00419|0|0.05605|-0.00082|0|290|winterSe|1|TRUE
2019-01-22|1|0.18145|-0.0601|0.00708|0.10908|0|929|winterSe|1|TRUE
2019-01-22|1|-0.27065|-0.17509|-0.19814|-0.35594|0|864|winterSe|1|TRUE
2019-01-22|1|-0.11041|0.01245|-0.01424|0.08368|0.09385|771|winterSe|1|TRUE
2019-01-22|1|0.0209|0.0209|0.07231|0.01795|0|291|winterSe|1|TRUE
2019-01-22|1|0.18274|-0.05096|0.01985|0.10635|0|929|winterSe|1|TRUE
2019-01-22|1|0.00056|0.0016|-0.1207|0.00056|0|603|winterSe|1|TRUE
2019-01-22|1|0.00511|-0.00152|0.05455|0|0|295|winterSe|1|TRUE
2019-01-22|1|0.08859|-0.01178|0.0144|0.20437|-0.04097|1048|winterSe|1|TRUE
2019-01-22|1|0.00066|0.00136|-0.12105|0.00066|0|603|winterSe|1|TRUE
2019-01-22|1|0.00886|-0.01833|-0.20156|0.00298|0|972|winterSe|1|TRUE
2019-01-22|1|-0.25369|-0.1597|-0.18787|-0.34312|0|864|winterSe|1|TRUE
2019-01-22|1|-0.25438|-0.15469|-0.18286|-0.34407|0|864|winterSe|1|TRUE
2019-01-22|1|0.00474|-0.00271|0.05292|0|0|295|winterSe|1|TRUE
2019-01-22|1|4e-04|0.00253|-0.11934|0.00049|0|603|winterSe|1|TRUE
2019-01-22|1|2e-04|0.00253|-0.11932|0.00029|0|603|winterSe|1|TRUE
2019-01-22|1|0.00661|-0.01792|-0.20279|0.00297|0|972|winterSe|1|TRUE
2019-01-22|1|0.178|-0.05753|0.01333|0.10954|0|929|winterSe|1|TRUE
2019-01-22|1|-0.01067|-0.01745|0.03304|-0.01067|0|289|winterSe|1|TRUE
2019-01-22|1|-0.2909|-0.17214|-0.2001|-0.35259|0|864|winterSe|1|TRUE
2019-01-22|1|2e-04|0.00253|-0.11923|0.00071|0|603|winterSe|1|TRUE
2019-01-22|1|0.00698|0|0.05538|0.00188|0|291|winterSe|1|TRUE
2019-01-22|1|-0.23662|-0.1539|-0.17418|-0.35457|0|864|winterSe|1|TRUE
2019-01-22|1|-0.01053|0.01664|0.17708|-0.00193|0|837|winterSe|1|TRUE
2019-01-22|1|0.02446|-0.00412|0.00059|0.06247|0.22469|1041|winterSe|1|TRUE
2019-01-22|1|-0.0175|0.00295|-0.00454|0.07915|0.02793|343|winterSe|1|TRUE
2019-01-22|1|-0.01051|0.01662|0.17686|-0.00604|0|837|winterSe|1|TRUE
2019-01-22|1|0.00029|0.00068|-0.00181|0.08112|0.01801|360|winterSe|1|TRUE
2019-01-22|1|0.01156|0.01156|0.06651|0.0099|0|291|winterSe|1|TRUE
2019-01-22|1|0.00045|-0.00157|0.05641|0.00087|0|290|winterSe|1|TRUE
2019-01-22|1|-0.00169|-0.00435|0.05232|-0.00169|0|289|winterSe|1|TRUE
2019-01-22|1|0.16838|-0.06775|0.00261|0.10565|0|929|winterSe|1|TRUE
2019-01-22|1|-0.2805|-0.17839|-0.20372|-0.35383|0|864|winterSe|1|TRUE
2019-01-22|1|0.00888|-0.01835|-0.20185|0.00421|0|972|winterSe|1|TRUE
2019-01-22|1|0.00163|0|0.05849|0.00076|0|291|winterSe|1|TRUE
2019-01-22|1|0.00184|-0.00575|0.05003|0|0|295|winterSe|1|TRUE
2019-01-22|1|0.08451|-0.0107|0.01223|0.24311|-0.01865|1147|winterSe|1|TRUE
2019-01-22|1|-0.23058|-0.14515|-0.16575|-0.35346|0|864|winterSe|1|TRUE
2019-01-22|1|-0.10972|0.01238|-0.01418|-0.00845|0.09418|827|winterSe|1|TRUE
2019-01-22|1|0.16179|-0.06902|0.0033|0.09916|0|929|winterSe|1|TRUE
2019-01-22|1|0|-0.00202|0.05599|0|0|290|winterSe|1|TRUE
2019-01-22|1|-0.01102|-0.01812|0.03206|-0.01088|0|289|winterSe|1|TRUE
2019-01-22|1|0.01003|0.01003|0.06539|0.00782|0|291|winterSe|1|TRUE
2019-01-22|1|0|0|0|-1|0|5500|winterSe|1|TRUE
2019-01-22|1|0.00295|-0.00226|0.05443|0.00295|0|290|winterSe|1|TRUE
2019-01-22|1|0.06299|0.07461|0.10275|0.05281|0|281|winterSe|1|TRUE
2019-01-22|1|-0.28792|-0.18007|-0.20691|-0.35276|0|864|winterSe|1|TRUE
2019-01-22|1|0.02062|0.02062|0.07136|0.01426|0|291|winterSe|1|TRUE
2019-01-22|2|0.00105|0.00105|-0.12136|0.00175|0|603|winterSe|1|TRUE
2019-01-22|2|9e-04|-0.00129|0.05755|0|0|295|winterSe|1|TRUE
2019-01-22|2|-0.00982|0.01515|0.17636|-0.00374|0|837|winterSe|1|TRUE
2019-01-22|2|0.02338|0.02338|0.07126|0.0184|0|280|winterSe|1|TRUE
2019-01-22|2|0.08453|-0.0107|0.01223|0.24311|-0.01823|1158|winterSe|1|TRUE
2019-01-22|2|-0.01053|0.0183|0.17794|-0.00393|0|837|winterSe|1|TRUE
2019-01-22|2|0.00499|-0.00396|-0.19748|0.00244|0|972|winterSe|1|TRUE
2019-01-22|2|-0.00447|0.0016|-0.11929|0|0|603|winterSe|1|TRUE
2019-01-22|2|-0.00284|-0.00284|-0.12329|-0.00029|0|596|winterSe|1|TRUE
2019-01-22|2|0.00886|-0.01964|-0.2023|0.00358|0|972|winterSe|1|TRUE
2019-01-22|2|0.04745|0.05526|0.0907|0.0391|0|280|winterSe|1|TRUE
2019-01-22|2|0.00018|0.00413|-0.11706|0.00018|0|603|winterSe|1|TRUE
2019-01-22|2|-0.26846|-0.17003|-0.19121|-0.36208|0|870|winterSe|1|TRUE
2019-01-22|2|-0.0013|0.00222|-0.11903|-0.0013|0|602|winterSe|1|TRUE
2019-01-22|2|0.06668|-0.0089|0.01063|0.24785|-0.01336|1136|winterSe|1|TRUE
