"mcYear";"timeId";"area";"time";"day";"month";"hour";"BALANCE";"UNSP. ENRG";"LOLD";"DTG MRG"
2;1000;"fr";2017-08-11 15:00:00;11;"AUG";"15:00";12326;0;0;11111
2;1000;"be";2017-08-11 15:00:00;11;"AUG";"15:00";1894;0;0;1765
2;1000;"de";2017-08-11 15:00:00;11;"AUG";"15:00";7841;0;0;31304
2;1000;"nl";2017-08-11 15:00:00;11;"AUG";"15:00";-3805;0;0;6317
10;4459;"fr";2018-01-02 18:00:00;2;"JAN";"18:00";-10479;9247;1;0
10;4459;"be";2018-01-02 18:00:00;2;"JAN";"18:00";-1322;1138;1;0
10;4459;"de";2018-01-02 18:00:00;2;"JAN";"18:00";3689;0;0;13947
10;4459;"nl";2018-01-02 18:00:00;2;"JAN";"18:00";672;1273;1;0
10;4461;"fr";2018-01-02 20:00:00;2;"JAN";"20:00";-11868;703;1;0
10;4461;"be";2018-01-02 20:00:00;2;"JAN";"20:00";-897;0;0;0
10;4461;"de";2018-01-02 20:00:00;2;"JAN";"20:00";8787;0;0;14636
10;4461;"nl";2018-01-02 20:00:00;2;"JAN";"20:00";862;49;1;0
10;4481;"fr";2018-01-03 16:00:00;3;"JAN";"16:00";-11855;2554;1;0
10;4481;"be";2018-01-03 16:00:00;3;"JAN";"16:00";-740;0;0;0
10;4481;"de";2018-01-03 16:00:00;3;"JAN";"16:00";2370;0;0;13805
10;4481;"nl";2018-01-03 16:00:00;3;"JAN";"16:00";-253;1345;1;0
10;4507;"fr";2018-01-04 18:00:00;4;"JAN";"18:00";-8805;1826;1;0
10;4507;"be";2018-01-04 18:00:00;4;"JAN";"18:00";-1063;24;1;0
10;4507;"de";2018-01-04 18:00:00;4;"JAN";"18:00";130;0;0;10221
10;4507;"nl";2018-01-04 18:00:00;4;"JAN";"18:00";-688;826;1;0
10;4626;"fr";2018-01-09 17:00:00;9;"JAN";"17:00";-8729;68;1;0
10;4626;"be";2018-01-09 17:00:00;9;"JAN";"17:00";-1809;21;1;0
10;4626;"de";2018-01-09 17:00:00;9;"JAN";"17:00";9340;0;0;11785
10;4626;"nl";2018-01-09 17:00:00;9;"JAN";"17:00";-625;17;1;0
10;4801;"fr";2018-01-17 00:00:00;17;"JAN";"00:00";-9160;857;1;0
10;4801;"be";2018-01-17 00:00:00;17;"JAN";"00:00";-1887;300;1;0
10;4801;"de";2018-01-17 00:00:00;17;"JAN";"00:00";14847;0;0;10351
10;4801;"nl";2018-01-17 00:00:00;17;"JAN";"00:00";133;0;0;3942
10;4811;"fr";2018-01-17 10:00:00;17;"JAN";"10:00";-10268;3277;1;0
10;4811;"be";2018-01-17 10:00:00;17;"JAN";"10:00";-1381;2023;1;0
10;4811;"de";2018-01-17 10:00:00;17;"JAN";"10:00";3328;0;0;9016
10;4811;"nl";2018-01-17 10:00:00;17;"JAN";"10:00";-986;0;0;0
10;4860;"fr";2018-01-19 11:00:00;19;"JAN";"11:00";-6924;0;0;0
10;4860;"be";2018-01-19 11:00:00;19;"JAN";"11:00";-2139;29;1;0
10;4860;"de";2018-01-19 11:00:00;19;"JAN";"11:00";4335;0;0;9071
10;4860;"nl";2018-01-19 11:00:00;19;"JAN";"11:00";-457;7;1;0
10;4929;"fr";2018-01-22 08:00:00;22;"JAN";"08:00";-12366;1636;1;0
10;4929;"be";2018-01-22 08:00:00;22;"JAN";"08:00";-180;0;0;0
10;4929;"de";2018-01-22 08:00:00;22;"JAN";"08:00";6126;0;0;17907
