link,mcYear,timeId,time,day,month,hour,FLOW LIN.
be - de,2,1000,2017-08-11 15:00:00,11,AUG,15:00,0
be - fr,2,1000,2017-08-11 15:00:00,11,AUG,15:00,-1952
be - nl,2,1000,2017-08-11 15:00:00,11,AUG,15:00,3904
de - fr,2,1000,2017-08-11 15:00:00,11,AUG,15:00,0
de - nl,2,1000,2017-08-11 15:00:00,11,AUG,15:00,900
be - de,10,4459,2018-01-02 18:00:00,2,JAN,18:00,0
be - de,10,4461,2018-01-02 20:00:00,2,JAN,20:00,0
be - de,10,4481,2018-01-03 16:00:00,3,JAN,16:00,0
be - de,10,4507,2018-01-04 18:00:00,4,JAN,18:00,0
be - de,10,4626,2018-01-09 17:00:00,9,JAN,17:00,0
be - de,10,4801,2018-01-17 00:00:00,17,JAN,00:00,0
be - de,10,4811,2018-01-17 10:00:00,17,JAN,10:00,0
be - de,10,4860,2018-01-19 11:00:00,19,JAN,11:00,0
be - de,10,4929,2018-01-22 08:00:00,22,JAN,08:00,0
be - fr,10,4459,2018-01-02 18:00:00,2,JAN,18:00,-293
be - fr,10,4461,2018-01-02 20:00:00,2,JAN,20:00,132
be - fr,10,4481,2018-01-03 16:00:00,3,JAN,16:00,289
be - fr,10,4507,2018-01-04 18:00:00,4,JAN,18:00,-34
be - fr,10,4626,2018-01-09 17:00:00,9,JAN,17:00,-770
be - fr,10,4801,2018-01-17 00:00:00,17,JAN,00:00,-1857
be - fr,10,4811,2018-01-17 10:00:00,17,JAN,10:00,-1340
be - fr,10,4860,2018-01-19 11:00:00,19,JAN,11:00,-2061
be - fr,10,4929,2018-01-22 08:00:00,22,JAN,08:00,0
be - nl,10,4459,2018-01-02 18:00:00,2,JAN,18:00,0
be - nl,10,4461,2018-01-02 20:00:00,2,JAN,20:00,0
be - nl,10,4481,2018-01-03 16:00:00,3,JAN,16:00,0
be - nl,10,4507,2018-01-04 18:00:00,4,JAN,18:00,0
be - nl,10,4626,2018-01-09 17:00:00,9,JAN,17:00,0
be - nl,10,4801,2018-01-17 00:00:00,17,JAN,00:00,0
be - nl,10,4811,2018-01-17 10:00:00,17,JAN,10:00,0
be - nl,10,4860,2018-01-19 11:00:00,19,JAN,11:00,0
be - nl,10,4929,2018-01-22 08:00:00,22,JAN,08:00,849
de - fr,10,4459,2018-01-02 18:00:00,2,JAN,18:00,2672
de - fr,10,4461,2018-01-02 20:00:00,2,JAN,20:00,1836
de - fr,10,4481,2018-01-03 16:00:00,3,JAN,16:00,1666
de - fr,10,4507,2018-01-04 18:00:00,4,JAN,18:00,2538
de - fr,10,4626,2018-01-09 17:00:00,9,JAN,17:00,3199
de - fr,10,4801,2018-01-17 00:00:00,17,JAN,00:00,7156
de - fr,10,4811,2018-01-17 10:00:00,17,JAN,10:00,3508
de - fr,10,4860,2018-01-19 11:00:00,19,JAN,11:00,2006
de - fr,10,4929,2018-01-22 08:00:00,22,JAN,08:00,2466
de - nl,10,4459,2018-01-02 18:00:00,2,JAN,18:00,328
de - nl,10,4461,2018-01-02 20:00:00,2,JAN,20:00,138
de - nl,10,4481,2018-01-03 16:00:00,3,JAN,16:00,1030
de - nl,10,4507,2018-01-04 18:00:00,4,JAN,18:00,1134
de - nl,10,4626,2018-01-09 17:00:00,9,JAN,17:00,625
de - nl,10,4801,2018-01-17 00:00:00,17,JAN,00:00,-156
de - nl,10,4811,2018-01-17 10:00:00,17,JAN,10:00,-14
de - nl,10,4860,2018-01-19 11:00:00,19,JAN,11:00,470
de - nl,10,4929,2018-01-22 08:00:00,22,JAN,08:00,674
be - de,22,2322,2017-10-05 17:00:00,5,OCT,17:00,0
be - de,22,3954,2017-12-12 17:00:00,12,DEC,17:00,0
be - fr,22,2322,2017-10-05 17:00:00,5,OCT,17:00,-995
be - fr,22,3954,2017-12-12 17:00:00,12,DEC,17:00,-658
be - nl,22,2322,2017-10-05 17:00:00,5,OCT,17:00,0
be - nl,22,3954,2017-12-12 17:00:00,12,DEC,17:00,0
de - fr,22,2322,2017-10-05 17:00:00,5,OCT,17:00,-4006
de - fr,22,3954,2017-12-12 17:00:00,12,DEC,17:00,2946
de - nl,22,2322,2017-10-05 17:00:00,5,OCT,17:00,3596
de - nl,22,3954,2017-12-12 17:00:00,12,DEC,17:00,797
be - de,45,4602,2018-01-08 17:00:00,8,JAN,17:00,0
be - fr,45,4602,2018-01-08 17:00:00,8,JAN,17:00,108
be - nl,45,4602,2018-01-08 17:00:00,8,JAN,17:00,0
de - fr,45,4602,2018-01-08 17:00:00,8,JAN,17:00,2208
de - nl,45,4602,2018-01-08 17:00:00,8,JAN,17:00,1446
be - de,46,3931,2017-12-11 18:00:00,11,DEC,18:00,0
be - de,46,4002,2017-12-14 17:00:00,14,DEC,17:00,0
be - de,46,4619,2018-01-09 10:00:00,9,JAN,10:00,0
be - de,46,4644,2018-01-10 11:00:00,10,JAN,11:00,0
be - de,46,4651,2018-01-10 18:00:00,10,JAN,18:00,0
be - de,46,5025,2018-01-26 08:00:00,26,JAN,08:00,0
be - fr,46,3931,2017-12-11 18:00:00,11,DEC,18:00,-379
be - fr,46,4002,2017-12-14 17:00:00,14,DEC,17:00,172
be - fr,46,4619,2018-01-09 10:00:00,9,JAN,10:00,0
be - fr,46,4644,2018-01-10 11:00:00,10,JAN,11:00,12
be - fr,46,4651,2018-01-10 18:00:00,10,JAN,18:00,-342
be - fr,46,5025,2018-01-26 08:00:00,26,JAN,08:00,-62
be - nl,46,3931,2017-12-11 18:00:00,11,DEC,18:00,0
be - nl,46,4002,2017-12-14 17:00:00,14,DEC,17:00,0
be - nl,46,4619,2018-01-09 10:00:00,9,JAN,10:00,125
be - nl,46,4644,2018-01-10 11:00:00,10,JAN,11:00,0
be - nl,46,4651,2018-01-10 18:00:00,10,JAN,18:00,0
be - nl,46,5025,2018-01-26 08:00:00,26,JAN,08:00,0
de - fr,46,3931,2017-12-11 18:00:00,11,DEC,18:00,1751
de - fr,46,4002,2017-12-14 17:00:00,14,DEC,17:00,1649
de - fr,46,4619,2018-01-09 10:00:00,9,JAN,10:00,-2936
de - fr,46,4644,2018-01-10 11:00:00,10,JAN,11:00,256
de - fr,46,4651,2018-01-10 18:00:00,10,JAN,18:00,2532
