"mcYear";"timeId";"link";"time";"day";"month";"hour";"FLOW LIN."
2;1000;"be - de";2017-08-11 15:00:00;11;"AUG";"15:00";0
2;1000;"be - fr";2017-08-11 15:00:00;11;"AUG";"15:00";-1952
2;1000;"be - nl";2017-08-11 15:00:00;11;"AUG";"15:00";3904
2;1000;"de - fr";2017-08-11 15:00:00;11;"AUG";"15:00";0
2;1000;"de - nl";2017-08-11 15:00:00;11;"AUG";"15:00";900
10;4459;"be - de";2018-01-02 18:00:00;2;"JAN";"18:00";0
10;4459;"be - fr";2018-01-02 18:00:00;2;"JAN";"18:00";-293
10;4459;"be - nl";2018-01-02 18:00:00;2;"JAN";"18:00";0
10;4459;"de - fr";2018-01-02 18:00:00;2;"JAN";"18:00";2672
10;4459;"de - nl";2018-01-02 18:00:00;2;"JAN";"18:00";328
10;4461;"be - de";2018-01-02 20:00:00;2;"JAN";"20:00";0
10;4461;"be - fr";2018-01-02 20:00:00;2;"JAN";"20:00";132
10;4461;"be - nl";2018-01-02 20:00:00;2;"JAN";"20:00";0
10;4461;"de - fr";2018-01-02 20:00:00;2;"JAN";"20:00";1836
10;4461;"de - nl";2018-01-02 20:00:00;2;"JAN";"20:00";138
10;4481;"be - de";2018-01-03 16:00:00;3;"JAN";"16:00";0
10;4481;"be - fr";2018-01-03 16:00:00;3;"JAN";"16:00";289
10;4481;"be - nl";2018-01-03 16:00:00;3;"JAN";"16:00";0
10;4481;"de - fr";2018-01-03 16:00:00;3;"JAN";"16:00";1666
10;4481;"de - nl";2018-01-03 16:00:00;3;"JAN";"16:00";1030
10;4507;"be - de";2018-01-04 18:00:00;4;"JAN";"18:00";0
10;4507;"be - fr";2018-01-04 18:00:00;4;"JAN";"18:00";-34
10;4507;"be - nl";2018-01-04 18:00:00;4;"JAN";"18:00";0
10;4507;"de - fr";2018-01-04 18:00:00;4;"JAN";"18:00";2538
10;4507;"de - nl";2018-01-04 18:00:00;4;"JAN";"18:00";1134
10;4626;"be - de";2018-01-09 17:00:00;9;"JAN";"17:00";0
10;4626;"be - fr";2018-01-09 17:00:00;9;"JAN";"17:00";-770
10;4626;"be - nl";2018-01-09 17:00:00;9;"JAN";"17:00";0
10;4626;"de - fr";2018-01-09 17:00:00;9;"JAN";"17:00";3199
10;4626;"de - nl";2018-01-09 17:00:00;9;"JAN";"17:00";625
10;4801;"be - de";2018-01-17 00:00:00;17;"JAN";"00:00";0
10;4801;"be - fr";2018-01-17 00:00:00;17;"JAN";"00:00";-1857
10;4801;"be - nl";2018-01-17 00:00:00;17;"JAN";"00:00";0
10;4801;"de - fr";2018-01-17 00:00:00;17;"JAN";"00:00";7156
10;4801;"de - nl";2018-01-17 00:00:00;17;"JAN";"00:00";-156
10;4811;"be - de";2018-01-17 10:00:00;17;"JAN";"10:00";0
10;4811;"be - fr";2018-01-17 10:00:00;17;"JAN";"10:00";-1340
10;4811;"be - nl";2018-01-17 10:00:00;17;"JAN";"10:00";0
10;4811;"de - fr";2018-01-17 10:00:00;17;"JAN";"10:00";3508
10;4811;"de - nl";2018-01-17 10:00:00;17;"JAN";"10:00";-14
10;4860;"be - de";2018-01-19 11:00:00;19;"JAN";"11:00";0
10;4860;"be - fr";2018-01-19 11:00:00;19;"JAN";"11:00";-2061
10;4860;"be - nl";2018-01-19 11:00:00;19;"JAN";"11:00";0
10;4860;"de - fr";2018-01-19 11:00:00;19;"JAN";"11:00";2006
10;4860;"de - nl";2018-01-19 11:00:00;19;"JAN";"11:00";470
10;4929;"be - de";2018-01-22 08:00:00;22;"JAN";"08:00";0
