mcYear;timeId;area;time;day;month;hour;DTG MRG
2;1000;de;11/08/2017 15:00;11;AUG;15:00;0
10;4459;de;02/01/2018 18:00;2;JAN;18:00;0
10;4461;de;02/01/2018 20:00;2;JAN;20:00;0
10;4481;de;03/01/2018 16:00;3;JAN;16:00;0
10;4507;de;04/01/2018 18:00;4;JAN;18:00;0
10;4626;de;09/01/2018 17:00;9;JAN;17:00;0
10;4801;de;17/01/2018 00:00;17;JAN;00:00;0
10;4811;de;17/01/2018 10:00;17;JAN;10:00;0
10;4860;de;19/01/2018 11:00;19;JAN;11:00;0
10;4929;de;22/01/2018 08:00;22;JAN;08:00;0
22;2322;de;05/10/2017 17:00;5;OCT;17:00;0
22;3954;de;12/12/2017 17:00;12;DEC;17:00;0
45;4602;de;08/01/2018 17:00;8;JAN;17:00;0
46;3931;de;11/12/2017 18:00;11;DEC;18:00;0
46;4002;de;14/12/2017 17:00;14;DEC;17:00;0
46;4619;de;09/01/2018 10:00;9;JAN;10:00;0
46;4644;de;10/01/2018 11:00;10;JAN;11:00;0
46;4651;de;10/01/2018 18:00;10;JAN;18:00;0
46;5025;de;26/01/2018 08:00;26;JAN;08:00;0
224;4669;de;11/01/2018 12:00;11;JAN;12:00;0
224;4691;de;12/01/2018 10:00;12;JAN;10:00;1000
224;4696;de;12/01/2018 15:00;12;JAN;15:00;1000
360;4646;de;10/01/2018 13:00;10;JAN;13:00;1000
360;4647;de;10/01/2018 14:00;10;JAN;14:00;1000
589;3834;de;07/12/2017 17:00;7;DEC;17:00;1000
589;3930;de;11/12/2017 17:00;11;DEC;17:00;1000
600;4815;de;17/01/2018 14:00;17;JAN;14:00;1000
