"mcYear";"timeId";"area";"time";"day";"month";"hour";"BALANCE";"UNSP. ENRG";"LOLD";"DTG MRG"
2;1000;"be";2017-08-11 15:00:00;11;"AUG";"15:00";1894;0;0;1765
2;1000;"de";2017-08-11 15:00:00;11;"AUG";"15:00";7841;0;0;31304
2;1000;"fr";2017-08-11 15:00:00;11;"AUG";"15:00";12326;0;0;11111
2;1000;"nl";2017-08-11 15:00:00;11;"AUG";"15:00";-3805;0;0;6317
10;4459;"be";2018-01-02 18:00:00;2;"JAN";"18:00";146;2606;1;0
10;4459;"de";2018-01-02 18:00:00;2;"JAN";"18:00";4708;0;0;12928
10;4459;"fr";2018-01-02 18:00:00;2;"JAN";"18:00";-11693;8033;1;0
10;4459;"nl";2018-01-02 18:00:00;2;"JAN";"18:00";-601;0;0;0
10;4461;"be";2018-01-02 20:00:00;2;"JAN";"20:00";-897;0;0;0
10;4461;"de";2018-01-02 20:00:00;2;"JAN";"20:00";9674;0;0;13749
10;4461;"fr";2018-01-02 20:00:00;2;"JAN";"20:00";-11868;703;1;0
10;4461;"nl";2018-01-02 20:00:00;2;"JAN";"20:00";-25;0;0;838
10;4481;"be";2018-01-03 16:00:00;3;"JAN";"16:00";786;1526;1;0
10;4481;"de";2018-01-03 16:00:00;3;"JAN";"16:00";3397;0;0;12778
10;4481;"fr";2018-01-03 16:00:00;3;"JAN";"16:00";-13063;1346;1;0
10;4481;"nl";2018-01-03 16:00:00;3;"JAN";"16:00";-1598;0;0;0
10;4507;"be";2018-01-04 18:00:00;4;"JAN";"18:00";1014;2101;1;0
10;4507;"de";2018-01-04 18:00:00;4;"JAN";"18:00";705;0;0;9646
10;4507;"fr";2018-01-04 18:00:00;4;"JAN";"18:00";-10631;0;0;0
10;4507;"nl";2018-01-04 18:00:00;4;"JAN";"18:00";-1514;0;0;0
10;4626;"be";2018-01-09 17:00:00;9;"JAN";"17:00";-1830;0;0;0
10;4626;"de";2018-01-09 17:00:00;9;"JAN";"17:00";9375;0;0;11750
10;4626;"fr";2018-01-09 17:00:00;9;"JAN";"17:00";-8797;0;0;0
10;4626;"nl";2018-01-09 17:00:00;9;"JAN";"17:00";-571;71;1;0
10;4801;"be";2018-01-17 00:00:00;17;"JAN";"00:00";-1274;913;1;0
10;4801;"de";2018-01-17 00:00:00;17;"JAN";"00:00";14847;0;0;10351
10;4801;"fr";2018-01-17 00:00:00;17;"JAN";"00:00";-10017;0;0;0
10;4801;"nl";2018-01-17 00:00:00;17;"JAN";"00:00";377;0;0;3698
10;4811;"be";2018-01-17 10:00:00;17;"JAN";"10:00";-2105;1299;1;0
10;4811;"de";2018-01-17 10:00:00;17;"JAN";"10:00";3351;0;0;8993
10;4811;"fr";2018-01-17 10:00:00;17;"JAN";"10:00";-9567;3978;1;0
10;4811;"nl";2018-01-17 10:00:00;17;"JAN";"10:00";-986;0;0;0
10;4860;"be";2018-01-19 11:00:00;19;"JAN";"11:00";-2168;0;0;0
10;4860;"de";2018-01-19 11:00:00;19;"JAN";"11:00";4346;0;0;9060
10;4860;"fr";2018-01-19 11:00:00;19;"JAN";"11:00";-6899;25;1;0
