Id_day	Id_hour	vect_b	Name
1	1	4400	FB01
1	1	1692	FB02
1	1	2555	FB03
1	1	1335	FB04
1	1	2461	FB05
1	1	1349	FB06
1	1	4500	FB07
1	1	4001	FB08
1	1	1312	FB09
1	1	1355	FB10
1	1	2988	FB11
1	1	3481	FB12
1	1	2472	FB13
1	1	3490	FB14
1	1	2775	FB15
1	1	2420	FB16
1	1	5654	FB17
1	1	6041	FB18
1	1	2768	FB19
1	1	3440	FB20
1	1	5198	FB21
1	1	1781	FB22
1	1	2133	FB23
1	1	2240	FB24
1	1	2830	FB25
1	1	4074	FB26
1	1	5802	FB27
1	1	3757	FB28
1	1	3531	FB29
1	1	3862	FB30
1	1	1736	FB31
1	1	5514	FB32
1	1	1751	FB33
1	1	3245	FB34
1	1	3742	FB35
1	1	3779	FB36
1	1	1000	FB37
1	2	4400	FB01
1	2	1404	FB02
1	2	2693	FB03
1	2	1840	FB04
1	2	2231	FB05
1	2	1602	FB06
1	2	4500	FB07
1	2	4001	FB08
1	2	1259	FB09
1	2	1286	FB10
1	2	2899	FB11
1	2	3616	FB12
1	2	2634	FB13
1	2	3580	FB14
1	2	2502	FB15
1	2	2504	FB16
1	2	5614	FB17
1	2	5877	FB18
1	2	2882	FB19
1	2	3882	FB20
1	2	5049	FB21
1	2	1709	FB22
1	2	1793	FB23
1	2	2720	FB24
1	2	3179	FB25
1	2	4222	FB26
1	2	5773	FB27
1	2	3523	FB28
1	2	3291	FB29
1	2	3749	FB30
1	2	1879	FB31
1	2	5730	FB32
1	2	1601	FB33
1	2	3050	FB34
1	2	3591	FB35
1	2	4027	FB36
1	2	1000	FB37
1	3	4400	FB01
1	3	1405	FB02
1	3	2805	FB03
1	3	2176	FB04
1	3	2074	FB05
1	3	1669	FB06
1	3	4500	FB07
1	3	4001	FB08
1	3	1385	FB09
1	3	1428	FB10
1	3	3258	FB11
1	3	3907	FB12
1	3	2738	FB13
1	3	3860	FB14
1	3	2825	FB15
1	3	2633	FB16
1	3	5774	FB17
1	3	5734	FB18
1	3	3162	FB19
1	3	4403	FB20
1	3	4921	FB21
1	3	1759	FB22
1	3	2204	FB23
1	3	3062	FB24
1	3	3509	FB25
1	3	4613	FB26
1	3	5887	FB27
1	3	3455	FB28
1	3	3176	FB29
1	3	3908	FB30
1	3	1869	FB31
