"name"	"be%fr"	"de%fr"	"de%nl"	"be%nl"	"be%de"
"FB01"	0	-1	-1	0	1
"FB02"	0.07	-0.1	-0.66	-0.49	0.17
"FB03"	-0.23	0.28	0.8	0.29	-0.51
"FB04"	0.92	0.56	-0.37	-0.01	0.36
"FB05"	0.18	-0.23	0.34	0.75	0.41
"FB06"	0.09	0.39	-0.32	-0.62	-0.3
"FB07"	-1	0	0	-1	-1
"FB08"	-1	-1	0	0	0
"FB09"	0.37	0.44	-0.37	-0.44	-0.07
"FB10"	0.66	0.51	-0.38	-0.23	0.15
"FB11"	-0.54	0.32	0.85	-0.01	-0.86
"FB12"	1.33	0.39	-0.32	0.62	0.94
"FB13"	-0.43	0.11	-0.31	-0.85	-0.54
"FB14"	-0.3	0.48	0.9	0.12	-0.78
"FB15"	0.53	-0.12	-0.76	-0.11	0.65
"FB16"	-0.11	0.13	0.69	0.45	-0.24
"FB17"	-1.26	-0.39	0.38	-0.49	-0.87
"FB18"	0.04	-1.12	-0.55	0.61	1.16
"FB19"	0.11	0.76	0	-0.65	-0.65
"FB20"	1	1	0	0	0
"FB21"	-0.26	-0.98	-0.17	0.55	0.72
"FB22"	-0.1	0.07	-0.49	-0.66	-0.17
"FB23"	0.48	0.03	-0.67	-0.22	0.45
"FB24"	1.12	0.57	-0.34	0.21	0.55
"FB25"	1.24	0.51	-0.34	0.39	0.73
"FB26"	0.03	0.97	0.28	-0.66	-0.94
"FB27"	-1.28	-0.17	0.27	-0.84	-1.11
"FB28"	0.65	-0.17	0.12	0.94	0.82
"FB29"	0.44	-0.27	0.17	0.88	0.71
"FB30"	1.3	0.19	-0.28	0.83	1.11
"FB31"	-0.22	0.24	-0.31	-0.77	-0.46
"FB32"	0	1	1	0	-1
"FB33"	0.07	0.01	-0.59	-0.53	0.06
"FB34"	0	-0.55	-0.88	-0.33	0.55
"FB35"	0.38	-0.51	-0.91	-0.02	0.89
"FB36"	0.65	1.03	0.08	-0.3	-0.38
