"Name"	"BE.FR"	"DE.FR"	"DE.NL"	"BE.NL"	"BE.DE"	"AT.DE"
"FB01"	-0.01	-0.01	0	0	0	1
"FB02"	-0.21	0.2	-0.31	-0.72	-0.41	-0.05
"FB03"	-0.01	-0.12	-0.14	-0.03	0.11	1.12
"FB04"	0.04	0.15	0.08	-0.03	-0.11	0.91
"FB05"	0	-0.09	0	0.09	0.09	0.99
"FB06"	0	-0.02	-0.01	0.01	0.02	-0.99
"FB07"	0	-0.18	-0.48	-0.3	0.18	1.24
"FB08"	-0.34	-1.08	-0.25	0.49	0.74	0.31
"FB09"	-0.07	0.12	0.58	0.39	-0.19	-0.04
"FB10"	-0.06	0	0.28	0.22	-0.06	0.61
"FB11"	-0.1	-0.1	0	0	0	0.99
"FB12"	-0.03	0.21	-0.36	-0.6	-0.24	-0.06
"FB13"	-0.04	-0.15	-0.09	0.02	0.11	-0.9
"FB14"	0.58	-0.29	0.05	0.92	0.87	0.07
"FB15"	1.15	0.49	-0.29	0.37	0.66	-0.11
"FB16"	-1.14	-0.42	0.31	-0.41	-0.72	0.11
"FB17"	0.83	0.48	-0.34	0.01	0.35	-0.11
"FB18"	0.07	-0.05	-0.54	-0.42	0.12	0.03
"FB19"	1.24	0.35	-0.28	0.61	0.89	-0.1
"FB20"	1.14	0.01	-0.25	0.88	1.13	-0.04
"FB21"	1	1	0	0	0	0
"FB22"	-1	0	0	-1	-1	0
"FB23"	0.05	0.09	0	-0.04	-0.04	-0.99
"FB24"	0	-1	-1	0	1	1
"FB25"	-0.39	-0.89	-0.04	0.46	0.5	0.27
"FB26"	0.25	1	0.32	-0.43	-0.75	-0.65
"FB27"	0	0.12	0.14	0.02	-0.12	-1.13
"FB28"	0.08	0.02	-0.31	-0.25	0.06	-0.54
"FB29"	0	0.24	0.49	0.25	-0.24	-1.27
"FB30"	0	1	1	0	-1	-1
"FB31"	-0.36	0.18	-0.26	-0.8	-0.54	-0.05
"FB32"	-0.26	0.27	0.67	0.14	-0.53	-0.08
"FB33"	-0.44	0.59	0.65	-0.38	-1.03	0
"FB34"	0.01	-0.15	-0.62	-0.46	0.16	1.01
"FB35"	0.01	-0.11	-0.64	-0.52	0.12	0.54
"FB36"	0.23	0.48	0	-0.25	-0.25	0.83
